SGG_Code,SGG_1,SGG_2,SGG_3
2110101,서울,서울특별시 종로구,서울 종로
2110402,서울,서울특별시 중구성동구갑,서울 중구성동갑
2110201,서울,서울특별시 중구성동구을,서울 중구성동을
2110301,서울,서울특별시 용산구,서울 용산
2110501,서울,서울특별시 광진구갑,서울 광진갑
2110502,서울,서울특별시 광진구을,서울 광진을
2110601,서울,서울특별시 동대문구갑,서울 동대문갑
2110602,서울,서울특별시 동대문구을,서울 동대문을
2110701,서울,서울특별시 중랑구갑,서울 중랑갑
2110702,서울,서울특별시 중랑구을,서울 중랑을
2110801,서울,서울특별시 성북구갑,서울 성북갑
2110802,서울,서울특별시 성북구을,서울 성북을
2110901,서울,서울특별시 강북구갑,서울 강북갑
2110902,서울,서울특별시 강북구을,서울 강북을
2111001,서울,서울특별시 도봉구갑,서울 도봉갑
2111002,서울,서울특별시 도봉구을,서울 도봉을
2111101,서울,서울특별시 노원구갑,서울 노원갑
2111102,서울,서울특별시 노원구을,서울 노원을
2111103,서울,서울특별시 노원구병,서울 노원병
2111201,서울,서울특별시 은평구갑,서울 은평갑
2111202,서울,서울특별시 은평구을,서울 은평을
2111301,서울,서울특별시 서대문구갑,서울 서대문갑
2111302,서울,서울특별시 서대문구을,서울 서대문을
2111401,서울,서울특별시 마포구갑,서울 마포갑
2111402,서울,서울특별시 마포구을,서울 마포을
2111501,서울,서울특별시 양천구갑,서울 양천갑
2111502,서울,서울특별시 양천구을,서울 양천을
2111601,서울,서울특별시 강서구갑,서울 강서갑
2111602,서울,서울특별시 강서구을,서울 강서을
2111603,서울,서울특별시 강서구병,서울 강서병
2111701,서울,서울특별시 구로구갑,서울 구로갑
2111702,서울,서울특별시 구로구을,서울 구로을
2111801,서울,서울특별시 금천구,서울 금천
2111901,서울,서울특별시 영등포구갑,서울 영등포갑
2111902,서울,서울특별시 영등포구을,서울 영등포을
2112001,서울,서울특별시 동작구갑,서울 동작갑
2112002,서울,서울특별시 동작구을,서울 동작을
2112101,서울,서울특별시 관악구갑,서울 관악갑
2112102,서울,서울특별시 관악구을,서울 관악을
2112201,서울,서울특별시 서초구갑,서울 서초갑
2112202,서울,서울특별시 서초구을,서울 서초을
2112301,서울,서울특별시 강남구갑,서울 강남갑
2112302,서울,서울특별시 강남구을,서울 강남을
2112303,서울,서울특별시 강남구병,서울 강남병
2112401,서울,서울특별시 송파구갑,서울 송파갑
2112402,서울,서울특별시 송파구을,서울 송파을
2112403,서울,서울특별시 송파구병,서울 송파병
2112501,서울,서울특별시 강동구갑,서울 강동갑
2112502,서울,서울특별시 강동구을,서울 강동을
2260401,부산,부산광역시 중구영도구,부산 중구영도구
2260201,부산,부산광역시 서구동구,부산 서구동구
2260501,부산,부산광역시 부산진구갑,부산 부산진갑
2260502,부산,부산광역시 부산진구을,부산 부산진을
2260601,부산,부산광역시 동래구,부산 동래
2260701,부산,부산광역시 남구갑,부산 남구갑
2260702,부산,부산광역시 남구을,부산 남구을
2260801,부산,부산광역시 북구강서구갑,부산 북강서갑
2261301,부산,부산광역시 북구강서구을,부산 북강서을
2260902,부산,부산광역시 해운대구갑,부산 해운대갑
2260903,부산,부산광역시 해운대구을,부산 해운대을
2261101,부산,부산광역시 사하구갑,부산 사하갑
2261102,부산,부산광역시 사하구을,부산 사하을
2261201,부산,부산광역시 금정구,부산 금정
2261401,부산,부산광역시 연제구,부산 연제
2261501,부산,부산광역시 수영구,부산 수영
2261601,부산,부산광역시 사상구,부산 사상
2261002,부산,부산광역시 기장군,부산 기장
2270101,대구,대구광역시 중구남구,대구 중구남구
2270201,대구,대구광역시 동구갑,대구 동구갑
2270202,대구,대구광역시 동구을,대구 동구을
2270301,대구,대구광역시 서구,대구 서구
2270501,대구,대구광역시 북구갑,대구 북구갑
2270502,대구,대구광역시 북구을,대구 북구을
2270601,대구,대구광역시 수성구갑,대구 수성갑
2270602,대구,대구광역시 수성구을,대구 수성을
2270701,대구,대구광역시 달서구갑,대구 달서갑
2270702,대구,대구광역시 달서구을,대구 달서을
2270703,대구,대구광역시 달서구병,대구 달서병
2270801,대구,대구광역시 달성군,대구 달성
2280101,인천,인천광역시 중구강화군옹진군,인천 중구강화옹진
2280301,인천,인천광역시 동구미추홀구갑,인천 동구미추홀갑
2280302,인천,인천광역시 동구미추홀구을,인천 동구미추홀을
2280402,인천,인천광역시 연수구갑,인천 연수갑
2280403,인천,인천광역시 연수구을,인천 연수을
2280501,인천,인천광역시 남동구갑,인천 남동갑
2280502,인천,인천광역시 남동구을,인천 남동을
2280601,인천,인천광역시 부평구갑,인천 부평갑
2280602,인천,인천광역시 부평구을,인천 부평을
2280701,인천,인천광역시 계양구갑,인천 계양갑
2280702,인천,인천광역시 계양구을,인천 계양을
2280802,인천,인천광역시 서구갑,인천 서구갑
2280803,인천,인천광역시 서구을,인천 서구을
2290302,광주,광주광역시 동구남구갑,광주 동구남구갑
2290101,광주,광주광역시 동구남구을,광주 동구남구을
2290201,광주,광주광역시 서구갑,광주 서구갑
2290202,광주,광주광역시 서구을,광주 서구을
2290401,광주,광주광역시 북구갑,광주 북구갑
2290402,광주,광주광역시 북구을,광주 북구을
2290501,광주,광주광역시 광산구갑,광주 광산갑
2290502,광주,광주광역시 광산구을,광주 광산을
2300101,대전,대전광역시 동구,대전 동구
2300201,대전,대전광역시 중구,대전 중구
2300301,대전,대전광역시 서구갑,대전 서구갑
2300302,대전,대전광역시 서구을,대전 서구을
2300402,대전,대전광역시 유성구갑,대전 유성갑
2300403,대전,대전광역시 유성구을,대전 유성을
2300501,대전,대전광역시 대덕구,대전 대덕
2310101,울산,울산광역시 중구,울산 중구
2310201,울산,울산광역시 남구갑,울산 남구갑
2310202,울산,울산광역시 남구을,울산 남구을
2310301,울산,울산광역시 동구,울산 동구
2310401,울산,울산광역시 북구,울산 북구
2310501,울산,울산광역시 울주군,울산 울주
2510101,세종,세종특별자치시 세종특별자치시갑,세종 세종시갑
2510102,세종,세종특별자치시 세종특별자치시을,세종 세종시을
2410101,경기,경기도 수원시갑,경기 수원갑
2410201,경기,경기도 수원시을,경기 수원을
2410301,경기,경기도 수원시병,경기 수원병
2410401,경기,경기도 수원시정,경기 수원정
2410202,경기,경기도 수원시무,경기 수원무
2410501,경기,경기도 성남시수정구,경기 성남수정
2410601,경기,경기도 성남시중원구,경기 성남중원
2410701,경기,경기도 성남시분당구갑,경기 성남분당갑
2410702,경기,경기도 성남시분당구을,경기 성남분당을
2410801,경기,경기도 의정부시갑,경기 의정부갑
2410802,경기,경기도 의정부시을,경기 의정부을
2410901,경기,경기도 안양시만안구,경기 안양만안
2411001,경기,경기도 안양시동안구갑,경기 안양동안갑
2411002,경기,경기도 안양시동안구을,경기 안양동안을
2411101,경기,경기도 부천시갑,경기 부천갑
2411102,경기,경기도 부천시을,경기 부천을
2411201,경기,경기도 부천시병,경기 부천병
2411301,경기,경기도 부천시정,경기 부천정
2411401,경기,경기도 광명시갑,경기 광명갑
2411402,경기,경기도 광명시을,경기 광명을
2411501,경기,경기도 평택시갑,경기 평택갑
2411502,경기,경기도 평택시을,경기 평택을
2411701,경기,경기도 동두천시연천군,경기 동두천연천
2411801,경기,경기도 안산시상록구갑,경기 안산상록갑
2411802,경기,경기도 안산시상록구을,경기 안산상록을
2411901,경기,경기도 안산시단원구갑,경기 안산단원갑
2411902,경기,경기도 안산시단원구을,경기 안산단원을
2412001,경기,경기도 고양시갑,경기 고양갑
2412002,경기,경기도 고양시을,경기 고양을
2412101,경기,경기도 고양시병,경기 고양병
2412201,경기,경기도 고양시정,경기 고양정
2412301,경기,경기도 의왕시과천시,경기 의왕과천
2412501,경기,경기도 구리시,경기 구리
2412601,경기,경기도 남양주시갑,경기 남양주갑
2412602,경기,경기도 남양주시을,경기 남양주을
2412603,경기,경기도 남양주시병,경기 남양주병
2412701,경기,경기도 오산시,경기 오산
2412901,경기,경기도 시흥시갑,경기 시흥갑
2412902,경기,경기도 시흥시을,경기 시흥을
2413002,경기,경기도 군포시,경기 군포
2413101,경기,경기도 하남시,경기 하남
2413501,경기,경기도 용인시갑,경기 용인갑
2413701,경기,경기도 용인시을,경기 용인을
2413602,경기,경기도 용인시병,경기 용인병
2413702,경기,경기도 용인시정,경기 용인정
2413202,경기,경기도 파주시갑,경기 파주갑
2413203,경기,경기도 파주시을,경기 파주을
2413401,경기,경기도 이천시,경기 이천
2413801,경기,경기도 안성시,경기 안성
2413902,경기,경기도 김포시갑,경기 김포갑
2413903,경기,경기도 김포시을,경기 김포을
2412801,경기,경기도 화성시갑,경기 화성갑
2412802,경기,경기도 화성시을,경기 화성을
2412803,경기,경기도 화성시병,경기 화성병
2414002,경기,경기도 광주시갑,경기 광주갑
2414003,경기,경기도 광주시을,경기 광주을
2411602,경기,경기도 양주시,경기 양주
2414102,경기,경기도 포천시가평군,경기 포천가평
2413301,경기,경기도 여주시양평군,경기 여주양평
2420101,강원,강원도 춘천시철원군화천군양구군갑,강원 춘천철원화천양구갑
2420102,강원,강원도 춘천시철원군화천군양구군을,강원 춘천철원화천양구을
2420202,강원,강원도 원주시갑,강원 원주갑
2420203,강원,강원도 원주시을,강원 원주을
2420301,강원,강원도 강릉시,강원 강릉
2420401,강원,강원도 동해시태백시삼척시정선군,강원 동해태백삼척정선
2420801,강원,강원도 속초시인제군고성군양양군,강원 속초인제고성양양
2421402,강원,강원도 홍천군횡성군영월군평창군,강원 홍천횡성영월평창
2430101,충북,충청북도 청주시상당구,충북 청주상당
2430201,충북,충청북도 청주시서원구,충북 청주서원
2430202,충북,충청북도 청주시흥덕구,충북 청주흥덕
2430601,충북,충청북도 청주시청원구,충북 청주청원
2430301,충북,충청북도 충주시,충북 충주
2430401,충북,충청북도 제천시단양군,충북 제천단양
2430701,충북,충청북도 보은군옥천군영동군괴산군,충북 보은옥천영동괴산
2431002,충북,충청북도 증평군진천군음성군,충북 증평진천음성
2440101,충남,충청남도 천안시갑,충남 천안갑
2440102,충남,충청남도 천안시을,충남 천안을
2440103,충남,충청남도 천안시병,충남 천안병
2440202,충남,충청남도 공주시부여군청양군,충남 공주부여청양
2440301,충남,충청남도 보령시서천군,충남 보령서천
2440402,충남,충청남도 아산시갑,충남 아산갑
2440403,충남,충청남도 아산시을,충남 아산을
2440501,충남,충청남도 서산시태안군,충남 서산태안
2440901,충남,충청남도 논산시계룡시금산군,충남 논산계룡금산
2441601,충남,충청남도 당진시,충남 당진
2441301,충남,충청남도 홍성군예산군,충남 홍성예산
2450101,전북,전라북도 전주시갑,전북 전주갑
2450102,전북,전라북도 전주시을,전북 전주을
2450201,전북,전라북도 전주시병,전북 전주병
2450301,전북,전라북도 군산시,전북 군산
2450501,전북,전라북도 익산시갑,전북 익산갑
2450502,전북,전라북도 익산시을,전북 익산을
2450701,전북,전라북도 정읍시고창군,전북 정읍고창
2450801,전북,전라북도 남원시임실군순창군,전북 남원임실순창
2450902,전북,전라북도 김제시부안군,전북 김제부안
2451001,전북,전라북도 완주군진안군무주군장수군,전북 완주진안무주장수
2460101,전남,전라남도 목포시,전남 목포
2460201,전남,전라남도 여수시갑,전남 여수갑
2460202,전남,전라남도 여수시을,전남 여수을
2460403,전남,전라남도 순천시광양시곡성군구례군갑,전남 순천광양곡성구례갑
2460702,전남,전라남도 순천시광양시곡성군구례군을,전남 순천광양곡성구례을
2460601,전남,전라남도 나주시화순군,전남 나주화순
2462202,전남,전라남도 담양군함평군영광군장성군,전남 담양함평영광장성
2461201,전남,전라남도 고흥군보성군장흥군강진군,전남 고흥보성장흥강진
2461801,전남,전라남도 해남군완도군진도군,전남 해남완도진도
2462101,전남,전라남도 영암군무안군신안군,전남 영암무안신안
2470101,경북,경상북도 포항시북구,경북 포항북구
2470201,경북,경상북도 포항시남구울릉군,경북 포항남울릉
2470401,경북,경상북도 경주시,경북 경주
2470501,경북,경상북도 김천시,경북 김천
2470601,경북,경상북도 안동시예천군,경북 안동예천
2470701,경북,경상북도 구미시갑,경북 구미갑
2470702,경북,경상북도 구미시을,경북 구미을
2470802,경북,경상북도 영주시영양군봉화군울진군,경북 영주영양봉화울진
2470901,경북,경상북도 영천시청도군,경북 영천
2471002,경북,경상북도 상주시문경시,경북 상주문경
2471302,경북,경상북도 경산시,경북 경산
2471902,경북,경상북도 군위군의성군청송군영덕군,경북 군위의성청송영덕
2471701,경북,경상북도 고령군성주군칠곡군,경북 고령성주칠곡
2480101,경남,경상남도 창원시의창구,경남 창원의창
2480102,경남,경상남도 창원시성산구,경남 창원성산
2480201,경남,경상남도 창원시마산합포구,경남 창원마산합포
2480202,경남,경상남도 창원시마산회원구,경남 창원마산회원
2480401,경남,경상남도 창원시진해구,경남 창원진해
2480301,경남,경상남도 진주시갑,경남 진주갑
2480302,경남,경상남도 진주시을,경남 진주을
2480501,경남,경상남도 통영시고성군,경남 통영고성
2480702,경남,경상남도 사천시남해군하동군,경남 사천남해하동
2480801,경남,경상남도 김해시갑,경남 김해갑
2480802,경남,경상남도 김해시을,경남 김해을
2480901,경남,경상남도 밀양시의령군함안군창녕군,경남 밀양의령함안창녕
2481001,경남,경상남도 거제시,경남 거제
2481402,경남,경상남도 양산시갑,경남 양산갑
2481403,경남,경상남도 양산시을,경남 양산을
2481901,경남,경상남도 산청군함양군거창군합천군,경남 산청함양거창합천
2490101,제주,제주특별자치도 제주시갑,제주 제주갑
2490102,제주,제주특별자치도 제주시을,제주 제주을
2490201,제주,제주특별자치도 서귀포시,제주 서귀포
